doc,relevance
08_31_Ringvorlesung_Data_Science_in_Action_HWS23.pdf,1
160407_Praesentation_Wima_Master.pdf,1
18-PerCom.pdf,0
201800608_NO_EKiZi_.pdf,1
2020.emnlp-main.4.pdf,0
2024_02_mzes_hiwi_gutfleisch.pdf,0
3586163.pdf,0
6_Laakso_Researching_Research.pdf,0
DB_Exercise_12_Application_Development.pdf,0
DM07-Parameter-Tuning-V1.pdf,0
DM07-StudentProjects-FSS2021-Presentations.pdf,0
ENGAGE_Formblatt_Hilfskraftmittel.pdf,0
Evaluation_Web_Data_Integration_Bizer_HWS2017.pdf,0
Flyer_Erstanlaufstelle_englisch_23_03_2021.pdf,1
KG02-RDF-v1.pdf,0
KG03-RDFS-v1.pdf,0
KG07-Labeled-Property-Graphs-v2.pdf,0
Learning_Agreement_Antragsteller_Bsc_Msc_Wifo___MMDS_Deckblatt.pdf,1
LectureEvaluation_WebDataIntegration_BizerLehmberg_HWS2015.pdf,0
LectureEvaluation_WebDataIntegration_BizerPaulheimBryl_HWS2013.pdf,0
Matching_patterns.pdf,0
MinIE%20Minimizing%20Facts%20in%20Open%20Information%20Extraction.pdf,0
Mobilitaetsangebote_fuer_Studierende_AStA.pdf,0
Nachhaltigkeit_Lehre_PM-23137.pdf,0
OA_Exploring%20Semi-Supervised_sensors-18-02639.pdf,0
PO_Kombinationsstudiengang_Rechtswissenschaft_JuSPO_2011_4Satzung.pdf,0
PO_MA_MKW_2014_neu.pdf,0
Schlicht11mapresolve.pdf,0
Stellenausschreibung_DHBW_CyberSecurity_Dez23.pdf,0
StuO_Gap_Year_2019.pdf,0
Stuckenschmidt07appproximate.pdf,0
VL_Semantic_Web_Technologies_Paulheim_HWS2016_correction.pdf,0
ba_bf_romanistik_spanisch_2012.pdf,0
beedkar16desq.pdf,0
bigtalk.pdf,0
dissertation_portisch.pdf,0
gashteovski20-align.pdf,0
gemulla07multisetsampling.pdf,0
gemulla11dsgd.pdf,0
l7_3_5_001.pdf,0
makari13-gbm-slides.pdf,0
o_142.pdf,0
o_169.pdf,0
om2011_proceedings.pdf,0
p101-diete.pdf,0
s10579-022-09581-9.pdf,0
satzung_ba_kuwi_philosophie.pdf,0
satzung_ma_mcl.pdf,0
semantic-browser.pdf,0
semstats_2013.pdf,0
